key,value
"Residence/Home",88
"Highway/Road/Alley/Street/Sidewalk",12
"Other/Unknown",11
"Bar/Nightclub",10
"Field/Woods",5
"Lake/Waterway/Beach",2
"Park/Playground",2
"Camp/Campground",1
"Department/Discount Store",1
"Drug Store/Doctor's Office/Hospital",1
"Hotel/Motel/Etc.",1
"Jail/Prison/Penitentiary/Corrections Facility",1
"Liquor Store",1
"Restaurant",1
"Abandoned/Condemned Structure",0
"Air/Bus/Train Terminal",0
"Amusement Park",0
"Arena/Stadium/Fairgrounds/Coliseum",0
"ATM Separate from Bank",0
"Auto Dealership New/Used",0
"Bank/Savings and Loan",0
"Church/Synagogue/Temple/Mosque",0
"Commercial/Office Building",0
"Community Center",0
"Construction Site",0
"Convenience Store",0
"Cyberspace",0
"Daycare Facility",0
"Dock/Wharf/Freight/Modal Terminal",0
"Farm Facility",0
"Gambling Facility/Casino/Race Track",0
"Government/Public Building",0
"Grocery/Supermarket",0
"Industrial Site",0
"Military Installation",0
"Not Specified",0
"Parking/Drop Lot/Garage",0
"Rental Storage Facility",0
"Rest Area",0
"School-College/University",0
"School-Elementary/Secondary",0
"School/College",0
"Service/Gas Station",0
"Shelter-Mission/Homeless",0
"Shopping Mall",0
"Specialty Store",0
"Tribal Lands",0
